SID,NAME,ISO_TIME,LAT,LON,WMO_WIND,BASIN
2020136N10088,AMPHAN,2020-05-15 06:00:00,9.5,87.5, ,NI
2020136N10088,AMPHAN,2020-05-15 09:00:00,9.5,87.2, ,NI
2020136N10088,AMPHAN,2020-05-15 12:00:00,9.5,87.0, ,NI
2020136N10088,AMPHAN,2020-05-15 15:00:00,9.5,86.8, ,NI
2020136N10088,AMPHAN,2020-05-15 18:00:00,9.5,86.6, ,NI
2020136N10088,AMPHAN,2020-05-15 21:00:00,9.6,86.5, ,NI
2020136N10088,AMPHAN,2020-05-16 00:00:00,9.8,86.4,25,NI
2020136N10088,AMPHAN,2020-05-16 03:00:00,10.1,86.2,25,NI
2020136N10088,AMPHAN,2020-05-16 06:00:00,10.3,86.1,25,NI
2020136N10088,AMPHAN,2020-05-16 09:00:00,10.5,86.1,30,NI
2020136N10088,AMPHAN,2020-05-16 12:00:00,10.6,86.2,35,NI
2020136N10088,AMPHAN,2020-05-16 15:00:00,10.8,86.1,40,NI
2020136N10088,AMPHAN,2020-05-16 18:00:00,10.9,86.1,40,NI
2020136N10088,AMPHAN,2020-05-16 21:00:00,11.1,86.1,45,NI
2020136N10088,AMPHAN,2020-05-17 00:00:00,11.2,86.1,45,NI
2020136N10088,AMPHAN,2020-05-17 03:00:00,11.3,86.1,50,NI
2020136N10088,AMPHAN,2020-05-17 06:00:00,11.5,86.2,55,NI
2020136N10088,AMPHAN,2020-05-17 09:00:00,11.6,86.2,65,NI
2020136N10088,AMPHAN,2020-05-17 12:00:00,11.9,86.2,70,NI
2020136N10088,AMPHAN,2020-05-17 15:00:00,12.5,86.4,75,NI
2020136N10088,AMPHAN,2020-05-17 18:00:00,12.5,86.4,80,NI
2020136N10088,AMPHAN,2020-05-17 21:00:00,12.9,86.5,90,NI
2020136N10088,AMPHAN,2020-05-18 00:00:00,13.2,86.4,100,NI
2020136N10088,AMPHAN,2020-05-18 03:00:00,13.3,86.2,115,NI
2020136N10088,AMPHAN,2020-05-18 06:00:00,13.4,86.2,120,NI
2020136N10088,AMPHAN,2020-05-18 09:00:00,13.7,86.2,120,NI
2020136N10088,AMPHAN,2020-05-18 12:00:00,14.1,86.4,125,NI
2020136N10088,AMPHAN,2020-05-18 15:00:00,14.5,86.5,125,NI
2020136N10088,AMPHAN,2020-05-18 18:00:00,14.9,86.6,130,NI
2020136N10088,AMPHAN,2020-05-18 21:00:00,15.2,86.7,130,NI
2020136N10088,AMPHAN,2020-05-19 00:00:00,15.6,86.8,125,NI
2020136N10088,AMPHAN,2020-05-19 03:00:00,16.0,86.9,120,NI
2020136N10088,AMPHAN,2020-05-19 06:00:00,16.5,87.0,115,NI
2020136N10088,AMPHAN,2020-05-19 09:00:00,16.9,87.0,110,NI
2020136N10088,AMPHAN,2020-05-19 12:00:00,17.3,87.1,105,NI
2020136N10088,AMPHAN,2020-05-19 15:00:00,17.9,87.1,100,NI
2020136N10088,AMPHAN,2020-05-19 18:00:00,18.3,87.2,100,NI
2020136N10088,AMPHAN,2020-05-19 21:00:00,18.7,87.3,100,NI
2020136N10088,AMPHAN,2020-05-20 00:00:00,19.2,87.5,95,NI
2020136N10088,AMPHAN,2020-05-20 03:00:00,19.8,87.7,95,NI
2020136N10088,AMPHAN,2020-05-20 06:00:00,20.6,88.0,90,NI
2020136N10088,AMPHAN,2020-05-20 09:00:00,21.4,88.1,90,NI
2020136N10088,AMPHAN,2020-05-20 12:00:00,22.1,88.4,85,NI
2020136N10088,AMPHAN,2020-05-20 15:00:00,22.8,88.6,65,NI
2020136N10088,AMPHAN,2020-05-20 18:00:00,23.5,89.1,50,NI
2020136N10088,AMPHAN,2020-05-20 21:00:00,24.3,89.3,45,NI
2020136N10088,AMPHAN,2020-05-21 00:00:00,24.6,89.6,40,NI
2020136N10088,AMPHAN,2020-05-21 03:00:00,25.1,89.9,35,NI
2020136N10088,AMPHAN,2020-05-21 06:00:00,25.4,90.1,30,NI
2020136N10088,AMPHAN,2020-05-21 09:00:00,25.2,89.6, ,NI
2020136N10088,AMPHAN,2020-05-21 12:00:00,25.4,89.6,20,NI
2020150N17054,UNNAMED,2020-05-29 09:00:00,17.3,54.3,25,NI
2020150N17054,UNNAMED,2020-05-29 12:00:00,17.3,54.3,25,NI
2020150N17054,UNNAMED,2020-05-29 15:00:00,17.3,54.3, ,NI
2020150N17054,UNNAMED,2020-05-29 18:00:00,17.3,54.3,25,NI
2020150N17054,UNNAMED,2020-05-29 21:00:00,17.3,54.2, ,NI
2020150N17054,UNNAMED,2020-05-30 00:00:00,17.3,54.2,25,NI
2020150N17054,UNNAMED,2020-05-30 03:00:00,17.3,54.2,25,NI
2020150N17054,UNNAMED,2020-05-30 06:00:00,17.2,54.0,25,NI
2020150N17054,UNNAMED,2020-05-30 09:00:00,17.2,54.0, ,NI
2020150N17054,UNNAMED,2020-05-30 12:00:00,17.2,54.0,25,NI
2020150N17054,UNNAMED,2020-05-30 15:00:00,17.2,54.0, ,NI
2020150N17054,UNNAMED,2020-05-30 18:00:00,17.2,54.0,25,NI
2020150N17054,UNNAMED,2020-05-30 21:00:00,17.1,53.9, ,NI
2020150N17054,UNNAMED,2020-05-31 00:00:00,17.1,53.8,25,NI
2020150N17054,UNNAMED,2020-05-31 03:00:00,17.1,53.8,25,NI
2020150N17054,UNNAMED,2020-05-31 06:00:00,17.0,53.5,25,NI
2020150N17054,UNNAMED,2020-05-31 09:00:00,16.9,53.3, ,NI
2020150N17054,UNNAMED,2020-05-31 12:00:00,16.9,53.1,25,NI
2020150N17054,UNNAMED,2020-05-31 15:00:00,16.9,53.0, ,NI
2020150N17054,UNNAMED,2020-05-31 18:00:00,16.8,52.9,25,NI
2020153N13072,NISARGA,2020-05-31 18:00:00,12.9,72.2, ,NI
2020153N13072,NISARGA,2020-05-31 21:00:00,12.9,72.0, ,NI
2020153N13072,NISARGA,2020-06-01 00:00:00,13.0,71.6,25,NI
2020153N13072,NISARGA,2020-06-01 03:00:00,13.1,71.4,25,NI
2020153N13072,NISARGA,2020-06-01 06:00:00,13.4,71.2,25,NI
2020153N13072,NISARGA,2020-06-01 09:00:00,13.7,71.1, ,NI
2020153N13072,NISARGA,2020-06-01 12:00:00,14.0,71.1,25,NI
2020153N13072,NISARGA,2020-06-01 15:00:00,14.2,71.2, ,NI
2020153N13072,NISARGA,2020-06-01 18:00:00,14.4,71.2,25,NI
2020153N13072,NISARGA,2020-06-01 21:00:00,14.7,71.2, ,NI
2020153N13072,NISARGA,2020-06-02 00:00:00,15.0,71.3,30,NI
2020153N13072,NISARGA,2020-06-02 03:00:00,15.3,71.3,30,NI
2020153N13072,NISARGA,2020-06-02 06:00:00,15.7,71.3,35,NI
2020153N13072,NISARGA,2020-06-02 09:00:00,16.0,71.3,35,NI
2020153N13072,NISARGA,2020-06-02 12:00:00,16.3,71.4,40,NI
2020153N13072,NISARGA,2020-06-02 15:00:00,16.2,71.5,40,NI
2020153N13072,NISARGA,2020-06-02 18:00:00,16.8,71.6,40,NI
2020153N13072,NISARGA,2020-06-02 21:00:00,17.0,71.9,45,NI
2020153N13072,NISARGA,2020-06-03 00:00:00,17.3,72.1,50,NI
2020153N13072,NISARGA,2020-06-03 03:00:00,17.6,72.4,55,NI
2020153N13072,NISARGA,2020-06-03 06:00:00,18.1,72.9,60,NI
2020153N13072,NISARGA,2020-06-03 09:00:00,18.5,73.2,55,NI
2020153N13072,NISARGA,2020-06-03 12:00:00,19.1,73.7,40,NI
2020153N13072,NISARGA,2020-06-03 15:00:00,19.6,74.0,30,NI
2020153N13072,NISARGA,2020-06-03 18:00:00,20.0,74.7,30,NI
2020153N13072,NISARGA,2020-06-03 21:00:00,20.3,75.3, ,NI
2020153N13072,NISARGA,2020-06-04 00:00:00,20.9,76.0,25,NI
2020153N13072,NISARGA,2020-06-04 03:00:00,21.5,76.8,20,NI
2020153N13072,NISARGA,2020-06-04 06:00:00,22.2,77.6,20,NI
2020285N15087,UNNAMED,2020-10-11 00:00:00,15.3,86.5,20,NI
2020285N15087,UNNAMED,2020-10-11 03:00:00,15.4,86.2,25,NI
2020285N15087,UNNAMED,2020-10-11 06:00:00,15.4,85.8,25,NI
2020285N15087,UNNAMED,2020-10-11 09:00:00,15.4,85.5, ,NI
2020285N15087,UNNAMED,2020-10-11 12:00:00,15.5,85.4,25,NI
